Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.11297,0.00038269,0.080363,0,0,0,7.797,0.023475,4.7905E-05,0.00022448,0.019899,2.2185E-05,0.033289,0,0,0,0,0,0,package://manipulator/meshes/base_link.STL,1,0,0,1,0,0,0,0,0,0,package://manipulator/meshes/base_link.STL,,chassis-1;base_link-1,coordinate 0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.035454,-0.029372,0.066104,0,0,0,0.25456,0.00016502,4.9948E-05,-4.491E-05,0.00017637,4.1415E-05,0.00014724,0,0,0,0,0,0,package://manipulator/meshes/link1.STL,0,1,0,1,0,0,0,0,0,0,package://manipulator/meshes/link1.STL,,J2-1,coordinate1,axis1,joint1,revolute,0,0,0,0,0,0,base_link,0,0,-1,100,1,-3.14,3.14,,,,,,,,
link2,0.079652,0.041858,-0.012953,0,0,0,1.044,0.0010263,-0.0014874,-1.781E-08,0.0030732,-4.3201E-08,0.0040642,0,0,0,0,0,0,package://manipulator/meshes/link2.STL,0,0,1,1,0,0,0,0,0,0,package://manipulator/meshes/link2.STL,,J2J3-1,coordinate2,axis2,joint2,revolute,0.0456467876391756,-0.0389406057762837,0.0780000000000011,1.5707963267949,0,-0.706282543551889,link1,0,0,1,100,1,-3.14,3.14,,,,,,,,
link3,0.018527,0.023768,-0.00051671,0,0,0,0.36014,0.00028421,-7.8329E-05,1.3369E-06,0.00012584,4.2077E-06,0.00031086,0,0,0,0,0,0,package://manipulator/meshes/link3.STL,1,0,0,1,0,0,0,0,0,0,package://manipulator/meshes/link3.STL,,J4-1,coordinate3,axis3,joint3,revolute,0.159320873438018,0.0837666955713734,0,0,0,0.484053189359241,link2,0,0,1,100,1,-3.14,3.14,,,,,,,,
link4,-0.0089635,0.00023851,0.094513,0,0,0,0.45505,0.00059491,3.3494E-05,0.00011332,0.0007121,-3.0029E-05,0.00028646,0,0,0,0,0,0,package://manipulator/meshes/link4.STL,0,1,0,1,0,0,0,0,0,0,package://manipulator/meshes/link4.STL,,J5-1,coordinate4,axis4,joint4,revolute,0.0382588524621935,0.0462196950257799,0,1.5707963267949,0,0.87935577521399,link3,0,0,-1,100,1,-3.14,3.14,,,,,,,,
link5,0.0032036,0.011651,0.0017616,0,0,0,0.19196,9.6131E-05,-4.9114E-06,-8.0953E-07,7.9619E-05,-2.9442E-06,0.00011037,0,0,0,0,0,0,package://manipulator/meshes/link5.STL,0,0,1,1,0,0,0,0,0,0,package://manipulator/meshes/link5.STL,,J6-1,coordinate5,axis5,joint5,revolute,0,0,0.151,1.57079632679489,0,1.3111112691161,link4,0,0,1,100,1,-3.14,3.14,,,,,,,,
link6,0.00011583,0.00015821,0.047924,0,0,0,0.0092596,1.3592E-06,2.9908E-08,2.1793E-09,1.3271E-06,2.3194E-09,2.4629E-06,0,0,0,0,0,0,package://manipulator/meshes/link6.STL,1,0,0,1,0,0,0,0,0,0,package://manipulator/meshes/link6.STL,,END-1,coordinate6,axis6,joint6,revolute,0,0,0,1.5707963267949,0,2.87327069925731,link5,0,0,1,100,1,-3.14,3.14,,,,,,,,
link_hand,-3.503E-05,-0.0048045,-0.010369,0,0,0,0.17256,0.00011839,1.9133E-08,2.0889E-08,9.0898E-05,1.6083E-06,0.00016865,0,0,0,0,0,0,package://manipulator/meshes/link_hand.STL,0,1,0,1,0,0,0,0,0,0,package://manipulator/meshes/link_hand.STL,,picker-1,coordinate7,axis7,joint_hand,fixed,0,0,0.115640311582712,1.5707963267949,0,3.01854698725898,link6,0,0,0,100,1,-3.14,3.14,,,,,,,,
link_right,0.024195,-0.037535,0.0045175,0,0,0,0.0056767,2.7667E-07,4E-08,7.2808E-09,8.5871E-07,5.4945E-11,1.1058E-06,0,0,0,0,0,0,package://manipulator/meshes/link_right.STL,0,1,0,1,0,0,0,0,0,0,package://manipulator/meshes/link_right.STL,,link3-n2.STEP-1;link2-n2.STEP-1,coordinate_right,axis_left,joint_right,prismatic,0,0.04,0.002,0,0,-1.5708,link_hand,0,1,0,100,1,0,0.05,,,,,,,,
link_left,-0.027675,-0.040049,0.0045175,0,0,0,0.0056767,2.7667E-07,4E-08,-7.2808E-09,8.5871E-07,-5.4945E-11,1.1058E-06,0,0,0,0,0,0,package://manipulator/meshes/link_left.STL,0,1,0,1,0,0,0,0,0,0,package://manipulator/meshes/link_left.STL,,link3-n2.STEP-2;link2-n2.STEP-2,coordinate_left,axis_right,joint_left,prismatic,0,0.04,0.002,0,0,1.5708,link_hand,0,1,0,100,1,0,0.05,,,,,,,,
