original_name,pinyin_name,new_filename,mass_kg
base_link\Wangs - base_link-1 J1-步骤1-1 L2-05-1.STL,wangs___base_link_1_j1__bu_zhou_1_1_l2_05_1,wangs___base_link_1_j1__bu_zhou_1_1_l2_05_1.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤1-1 M2x40母母-1.STL,wangs___base_link_1_j1__bu_zhou_1_1_m2x40_mu_mu__1,wangs___base_link_1_j1__bu_zhou_1_1_m2x40_mu_mu__1.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤1-1 M2x40母母-2.STL,wangs___base_link_1_j1__bu_zhou_1_1_m2x40_mu_mu__2,wangs___base_link_1_j1__bu_zhou_1_1_m2x40_mu_mu__2.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤1-1 M2x6沉头-1.STL,wangs___base_link_1_j1__bu_zhou_1_1_m2x6_chen_tou__1,wangs___base_link_1_j1__bu_zhou_1_1_m2x6_chen_tou__1.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤1-1 M2x6沉头-2.STL,wangs___base_link_1_j1__bu_zhou_1_1_m2x6_chen_tou__2,wangs___base_link_1_j1__bu_zhou_1_1_m2x6_chen_tou__2.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤1-1 M2x6沉头-3.STL,wangs___base_link_1_j1__bu_zhou_1_1_m2x6_chen_tou__3,wangs___base_link_1_j1__bu_zhou_1_1_m2x6_chen_tou__3.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤1-1 M4x16杯头-1.STL,wangs___base_link_1_j1__bu_zhou_1_1_m4x16_bei_tou__1,wangs___base_link_1_j1__bu_zhou_1_1_m4x16_bei_tou__1.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤1-1 M4x16杯头-2.STL,wangs___base_link_1_j1__bu_zhou_1_1_m4x16_bei_tou__2,wangs___base_link_1_j1__bu_zhou_1_1_m4x16_bei_tou__2.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤1-1 M4x16杯头-3.STL,wangs___base_link_1_j1__bu_zhou_1_1_m4x16_bei_tou__3,wangs___base_link_1_j1__bu_zhou_1_1_m4x16_bei_tou__3.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤1-1 M4x16杯头-4.STL,wangs___base_link_1_j1__bu_zhou_1_1_m4x16_bei_tou__4,wangs___base_link_1_j1__bu_zhou_1_1_m4x16_bei_tou__4.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤10-1 2x3x4-1.STL,wangs___base_link_1_j1__bu_zhou_10_1_2x3x4_1,wangs___base_link_1_j1__bu_zhou_10_1_2x3x4_1.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤10-1 2x3x4-2.STL,wangs___base_link_1_j1__bu_zhou_10_1_2x3x4_2,wangs___base_link_1_j1__bu_zhou_10_1_2x3x4_2.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤10-1 2x3x4-3.STL,wangs___base_link_1_j1__bu_zhou_10_1_2x3x4_3,wangs___base_link_1_j1__bu_zhou_10_1_2x3x4_3.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤10-1 2x3x4-4.STL,wangs___base_link_1_j1__bu_zhou_10_1_2x3x4_4,wangs___base_link_1_j1__bu_zhou_10_1_2x3x4_4.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤10-1 M2x12杯头-1.STL,wangs___base_link_1_j1__bu_zhou_10_1_m2x12_bei_tou__1,wangs___base_link_1_j1__bu_zhou_10_1_m2x12_bei_tou__1.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤10-1 M2x12杯头-2.STL,wangs___base_link_1_j1__bu_zhou_10_1_m2x12_bei_tou__2,wangs___base_link_1_j1__bu_zhou_10_1_m2x12_bei_tou__2.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤10-1 M2x12杯头-3.STL,wangs___base_link_1_j1__bu_zhou_10_1_m2x12_bei_tou__3,wangs___base_link_1_j1__bu_zhou_10_1_m2x12_bei_tou__3.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤10-1 M2x12杯头-4.STL,wangs___base_link_1_j1__bu_zhou_10_1_m2x12_bei_tou__4,wangs___base_link_1_j1__bu_zhou_10_1_m2x12_bei_tou__4.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤10-1 灯哥Odrive-1 灯哥Odrive单路-1.STL,wangs___base_link_1_j1__bu_zhou_10_1__deng_ge_odrive_1__deng_ge_odrive_dan_lu__1,wangs___base_link_1_j1__bu_zhou_10_1__deng_ge_odrive_1__deng_ge_odrive_dan_lu__1.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤10-1 灯哥Odrive-1 灯哥Odrive单路_Shell-1.STL,wangs___base_link_1_j1__bu_zhou_10_1__deng_ge_odrive_1__deng_ge_odrive_dan_lu__shell_1,wangs___base_link_1_j1__bu_zhou_10_1__deng_ge_odrive_1__deng_ge_odrive_dan_lu__shell_1.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤11-1 M3x10沉头-1.STL,wangs___base_link_1_j1__bu_zhou_11_1_m3x10_chen_tou__1,wangs___base_link_1_j1__bu_zhou_11_1_m3x10_chen_tou__1.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤11-1 M3x10沉头-2.STL,wangs___base_link_1_j1__bu_zhou_11_1_m3x10_chen_tou__2,wangs___base_link_1_j1__bu_zhou_11_1_m3x10_chen_tou__2.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤11-1 M3x10沉头-3.STL,wangs___base_link_1_j1__bu_zhou_11_1_m3x10_chen_tou__3,wangs___base_link_1_j1__bu_zhou_11_1_m3x10_chen_tou__3.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤7-1 dcy-42-1.STL,wangs___base_link_1_j1__bu_zhou_7_1_dcy_42_1,wangs___base_link_1_j1__bu_zhou_7_1_dcy_42_1.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤7-1 L1-02-1.STL,wangs___base_link_1_j1__bu_zhou_7_1_l1_02_1,wangs___base_link_1_j1__bu_zhou_7_1_l1_02_1.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤8-1 C4250-双出轴-1.STL,wangs___base_link_1_j1__bu_zhou_8_1_c4250__shuang_chu_zhou__1,wangs___base_link_1_j1__bu_zhou_8_1_c4250__shuang_chu_zhou__1.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤8-1 L1-01-1.STL,wangs___base_link_1_j1__bu_zhou_8_1_l1_01_1,wangs___base_link_1_j1__bu_zhou_8_1_l1_01_1.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤8-1 M3x8沉头-1.STL,wangs___base_link_1_j1__bu_zhou_8_1_m3x8_chen_tou__1,wangs___base_link_1_j1__bu_zhou_8_1_m3x8_chen_tou__1.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤8-1 M3x8沉头-2.STL,wangs___base_link_1_j1__bu_zhou_8_1_m3x8_chen_tou__2,wangs___base_link_1_j1__bu_zhou_8_1_m3x8_chen_tou__2.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤8-1 M3x8沉头-3.STL,wangs___base_link_1_j1__bu_zhou_8_1_m3x8_chen_tou__3,wangs___base_link_1_j1__bu_zhou_8_1_m3x8_chen_tou__3.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤8-1 M3x8沉头-4.STL,wangs___base_link_1_j1__bu_zhou_8_1_m3x8_chen_tou__4,wangs___base_link_1_j1__bu_zhou_8_1_m3x8_chen_tou__4.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤8-1 M4x10杯头-5.STL,wangs___base_link_1_j1__bu_zhou_8_1_m4x10_bei_tou__5,wangs___base_link_1_j1__bu_zhou_8_1_m4x10_bei_tou__5.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤8-1 M4x10杯头-6.STL,wangs___base_link_1_j1__bu_zhou_8_1_m4x10_bei_tou__6,wangs___base_link_1_j1__bu_zhou_8_1_m4x10_bei_tou__6.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤8-1 M4x10杯头-7.STL,wangs___base_link_1_j1__bu_zhou_8_1_m4x10_bei_tou__7,wangs___base_link_1_j1__bu_zhou_8_1_m4x10_bei_tou__7.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤8-1 M4x10杯头-8.STL,wangs___base_link_1_j1__bu_zhou_8_1_m4x10_bei_tou__8,wangs___base_link_1_j1__bu_zhou_8_1_m4x10_bei_tou__8.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤9-1 M3x68公母-1.STL,wangs___base_link_1_j1__bu_zhou_9_1_m3x68_gong_mu__1,wangs___base_link_1_j1__bu_zhou_9_1_m3x68_gong_mu__1.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤9-1 M3x68公母-2.STL,wangs___base_link_1_j1__bu_zhou_9_1_m3x68_gong_mu__2,wangs___base_link_1_j1__bu_zhou_9_1_m3x68_gong_mu__2.stl,0.0001
base_link\Wangs - base_link-1 J1-步骤9-1 M3x68公母-3.STL,wangs___base_link_1_j1__bu_zhou_9_1_m3x68_gong_mu__3,wangs___base_link_1_j1__bu_zhou_9_1_m3x68_gong_mu__3.stl,0.0001
base_link\Wangs - base_link-1 中空旋转平台-1 MK60Z-25-a-1.STL,wangs___base_link_1__zhong_kong_xuan_zhuan_ping_tai__1_mk60z_25_a_1,wangs___base_link_1__zhong_kong_xuan_zhuan_ping_tai__1_mk60z_25_a_1.stl,0.0001
base_link\Wangs - base_link-1 中空旋转平台-1 MK60Z-25-b-1.STL,wangs___base_link_1__zhong_kong_xuan_zhuan_ping_tai__1_mk60z_25_b_1,wangs___base_link_1__zhong_kong_xuan_zhuan_ping_tai__1_mk60z_25_b_1.stl,0.0001
