original_name,pinyin_name,new_filename,mass_kg
chassis\Wangs - chassis-1 12V模组-1 2 - 12-1.STL,wangs___chassis_1_12v_mo_zu__1_2___12_1,wangs___chassis_1_12v_mo_zu__1_2___12_1.stl,0.0001
chassis\Wangs - chassis-1 12V模组-1 3-12-1.STL,wangs___chassis_1_12v_mo_zu__1_3_12_1,wangs___chassis_1_12v_mo_zu__1_3_12_1.stl,0.0001
chassis\Wangs - chassis-1 12V模组-1 固定件-12V-1.STL,wangs___chassis_1_12v_mo_zu__1__gu_ding_jian__12v_1,wangs___chassis_1_12v_mo_zu__1__gu_ding_jian__12v_1.stl,0.0001
chassis\Wangs - chassis-1 12V模组-1 把手-12-1.STL,wangs___chassis_1_12v_mo_zu__1__ba_shou__12_1,wangs___chassis_1_12v_mo_zu__1__ba_shou__12_1.stl,0.0001
chassis\Wangs - chassis-1 24V模组-1 2 - 24-1.STL,wangs___chassis_1_24v_mo_zu__1_2___24_1,wangs___chassis_1_24v_mo_zu__1_2___24_1.stl,0.0001
chassis\Wangs - chassis-1 24V模组-1 3-24-1.STL,wangs___chassis_1_24v_mo_zu__1_3_24_1,wangs___chassis_1_24v_mo_zu__1_3_24_1.stl,0.0001
chassis\Wangs - chassis-1 24V模组-1 固定件-24V-1.STL,wangs___chassis_1_24v_mo_zu__1__gu_ding_jian__24v_1,wangs___chassis_1_24v_mo_zu__1__gu_ding_jian__24v_1.stl,0.0001
chassis\Wangs - chassis-1 24V模组-1 把手-24-1.STL,wangs___chassis_1_24v_mo_zu__1__ba_shou__24_1,wangs___chassis_1_24v_mo_zu__1__ba_shou__24_1.stl,0.0001
chassis\Wangs - chassis-1 上层板-1 HDMI扩展坞-1.STL,wangs___chassis_1__shang_ceng_ban__1_hdmi_kuo_zhan_wu__1,wangs___chassis_1__shang_ceng_ban__1_hdmi_kuo_zhan_wu__1.stl,0.0001
chassis\Wangs - chassis-1 上层板-1 功放主板-1.STL,wangs___chassis_1__shang_ceng_ban__1__gong_fang_zhu_ban__1,wangs___chassis_1__shang_ceng_ban__1__gong_fang_zhu_ban__1.stl,0.0001
